Día,Fecha,Hora,Local,Marcador,Visitante,Resultado,Sedes,Árbitro,Goles Local,Goles Visitante,Resultado Codificado
Dom,2025-05-04,13:00:00,Sport Boys,4–2,Alianza Univ,Ganó Local,Estadio Miguel Grau del Callao,Diego Haro,0.6666666666666666,0.5,1
Dom,2025-05-04,15:30:00,Alianza Atlético,2–0,Adt Tarma,Ganó Local,Estadio Campeones del 36,Christian Zegarra,0.3333333333333333,0.0,1
Dom,2025-05-04,18:00:00,Binacional,1–2,Cdc Santa Rosa,Ganó Visita,Estadio Guillermo Briceño Rosamedina,Jesús Cartagena,0.1666666666666667,0.5,2
Vie,2025-05-09,15:30:00,Comerciantes Unidos,1–1,Binacional,Empate,Estadio Municipal Germán Contreras Jara,Jhonathan Zamora,0.1666666666666667,0.25,0
Sáb,2025-05-10,12:00:00,Ayacucho,1–4,Sporting Cristal,Ganó Visita,Estadio Manuel Eloy Molina Robles,Kevin Ortega,0.1666666666666667,1.0,2
Sáb,2025-05-10,15:30:00,Atlético Grau,1–1,Alianza Lima,Empate,Estadio Nacional,Edwin Ordóñez,0.1666666666666667,0.25,0
Dom,2025-05-11,13:00:00,Cdc Santa Rosa,2–1,Utc,Ganó Local,Estadio Los Chankas,Diego Haro,0.3333333333333333,0.25,1
Dom,2025-05-11,15:15:00,Adt Tarma,2–2,Juan Pablo Ii,Empate,Estadio Municipal Unión de Tarma,Joel Alarcón,0.3333333333333333,0.5,0
Dom,2025-05-11,17:30:00,Deportivo Garcilaso,1–3,Cusco,Empate,Estadio Inca Garcilaso de la Vega,Michael Espinoza,0.1666666666666667,0.75,0
Dom,2025-05-11,18:30:00,Universitario,0–1,Alianza Atlético,Ganó Visita,Estadio Monumental U Marathon,Jordy Espinoza,0.0,0.25,2
Sáb,2025-05-10,21:00:00,Cienciano,1–2,Melgar,Ganó Visita,Estadio Inca Garcilaso de la Vega,Augusto Menéndez,0.1666666666666667,0.5,2
Lun,2025-05-12,15:30:00,Alianza Univ,0–1,Sport Huancayo,Ganó Visita,Estadio Heraclio Tapia León,Pablo López,0.0,0.25,2
Vie,2025-05-16,15:30:00,Alianza Atlético,1–0,Deportivo Garcilaso,Ganó Local,Estadio Campeones del 36,Robin Segura Tuanama,0.1666666666666667,0.0,1
Sáb,2025-05-17,15:00:00,Utc,2–0,Comerciantes Unidos,Ganó Local,Estadio Municipal Germán Contreras Jara,Jesús Cartagena,0.3333333333333333,0.0,1
Sáb,2025-05-17,15:30:00,Sporting Cristal,2–1,Adt Tarma,Ganó Local,Estadio Alberto Gallardo,Julio Quiróz,0.3333333333333333,0.25,1
Sáb,2025-05-17,18:00:00,Cusco,3–3,Cdc Santa Rosa,Empate,Estadio Inca Garcilaso de la Vega,Sebastián Lozano,0.5,0.75,0
Dom,2025-05-18,13:15:00,Sport Huancayo,1–0,Sport Boys,Ganó Local,Estadio Huancayo,Jordy Espinoza,0.1666666666666667,0.0,1
Dom,2025-05-18,15:30:00,Juan Pablo Ii,2–0,Universitario,Ganó Local,Estadio Nacional,Micke Palomino,0.3333333333333333,0.0,1
Dom,2025-05-18,18:00:00,Melgar,1–1,Atlético Grau,Empate,Estadio de la Universidad Nacional San A...,Kevin Ortega,0.1666666666666667,0.25,0
Lun,2025-05-19,17:30:00,Binacional,1–1,Cienciano,Empate,Estadio Guillermo Briceño Rosamedina,Daniel Ureta,0.1666666666666667,0.25,0
Lun,2025-05-19,20:00:00,Alianza Lima,2–0,Alianza Univ,Ganó Local,Estadio Alejandro Villanueva,Michael Espinoza,0.3333333333333333,0.0,1
Vie,2025-05-23,15:30:00,Alianza Univ,1–1,Melgar,Empate,Estadio Heraclio Tapia León,Micke Palomino,0.1666666666666667,0.25,0
Jue,2025-05-22,21:00:00,Universitario,2–0,Sporting Cristal,Ganó Local,Estadio Monumental U Marathon,Joel Alarcón,0.3333333333333333,0.0,1
Sáb,2025-05-24,13:00:00,Comerciantes Unidos,1–2,Cusco,Ganó Visita,Estadio Municipal Germán Contreras Jara,Edwin Ordóñez,0.1666666666666667,0.5,2
Sáb,2025-05-24,15:30:00,Atlético Grau,3–0,Binacional,Ganó Local,Estadio Campeones del 36,Pablo López,0.5,0.0,1
Sáb,2025-05-24,18:00:00,Cienciano,6–1,Utc,Ganó Local,Estadio Inca Garcilaso de la Vega,Kevin Ortega,1.0,0.25,1
Vie,2025-05-23,20:00:00,Sport Boys,0–1,Alianza Lima,Ganó Visita,Estadio de la Universidad Nacional Mayor...,Sebastián Lozano,0.0,0.25,2
Dom,2025-05-25,13:00:00,Adt Tarma,0–1,Ayacucho,Ganó Visita,Estadio Municipal Unión de Tarma,Michael Espinoza,0.0,0.25,2
Dom,2025-05-25,15:15:00,Cdc Santa Rosa,1–2,Alianza Atlético,Ganó Visita,Estadio Los Chankas,Daniel Ureta,0.1666666666666667,0.5,2
Dom,2025-05-25,18:00:00,Deportivo Garcilaso,4–0,Juan Pablo Ii,Ganó Local,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,0.6666666666666666,0.0,1
Jue,2025-06-12,15:00:00,Alianza Atlético,3–0,Comerciantes Unidos,Ganó Local,Estadio Campeones del 36,Kevin Ortega,0.5,0.0,1
Vie,2025-06-13,15:00:00,Utc,0–2,Atlético Grau,Ganó Visita,Estadio Municipal Germán Contreras Jara,Christian Zegarra,0.0,0.5,2
Sáb,2025-06-14,13:15:00,Melgar,2–1,Sport Boys,Ganó Local,Estadio de la Universidad Nacional San A...,Julio Quiróz,0.3333333333333333,0.25,1
Sáb,2025-06-14,15:30:00,Juan Pablo Ii,3–0,Cdc Santa Rosa,Ganó Local,Estadio de la Juventud,Roberto Pérez,0.5,0.0,1
Vie,2025-06-13,19:00:00,Cusco,0–0,Cienciano,Empate,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,0.0,0.0,0
Dom,2025-06-15,11:00:00,Sporting Cristal,3–2,Deportivo Garcilaso,Ganó Local,Estadio Alberto Gallardo,Augusto Menéndez,0.5,0.5,1
Dom,2025-06-15,15:00:00,Ayacucho,0–1,Universitario,Ganó Visita,Estadio Manuel Eloy Molina Robles,Sebastián Lozano,0.0,0.25,2
Dom,2025-06-15,17:30:00,Binacional,1–1,Alianza Univ,Empate,Estadio Guillermo Briceño Rosamedina,Joel Alarcón,0.1666666666666667,0.25,0
Sáb,2025-06-14,20:00:00,Alianza Lima,0–0,Sport Huancayo,Empate,Estadio Alejandro Villanueva,Micke Palomino,0.0,0.0,0
Jue,2025-06-19,15:00:00,Atlético Grau,0–0,Cusco,Empate,Estadio Campeones del 36,Roberto Pérez,0.0,0.0,0
Mié,2025-06-18,19:00:00,Comerciantes Unidos,0–1,Alianza Lima,Ganó Visita,Estadio Municipal Germán Contreras Jara,Edwin Ordóñez,0.0,0.25,2
